,accession,duf_number
918,PF10794,DUF2606
919,PF10795,DUF2607
920,PF14189,DUF4312
921,PF14188,DUF4311
922,PF10966,DUF2768
923,PF17504,DUF5436
924,PF17589,DUF5487
925,PF17520,DUF5445
926,PF17506,DUF5438
927,PF11097,DUF2883
928,PF17507,DUF5439
929,PF17569,DUF5475
930,PF17590,DUF5488
931,PF10809,DUF2732
932,PF10842,DUF2642
933,PF17592,DUF5489
934,PF17571,DUF5477
935,PF17572,DUF5478
936,PF17593,DUF5490
937,PF10956,DUF2756
938,PF17544,DUF5460
939,PF10916,DUF2712
940,PF17610,DUF5505
941,PF17630,DUF5511
942,PF17596,DUF5492
943,PF17522,DUF5446
944,PF11117,DUF2626
945,PF17631,DUF5512
946,PF17597,DUF5493
947,PF17632,DUF5513
948,PF17332,DUF5592
949,PF11116,DUF2624
950,PF10930,DUF2737
951,PF10841,DUF2644
952,PF17599,DUF5495
953,PF17601,DUF5497
954,PF10898,DUF2716
955,PF13811,DUF4186
956,PF17526,DUF5448
957,PF10897,DUF2713
958,PF17607,DUF5503
959,PF17509,DUF5440
960,PF17604,DUF5500
961,PF17639,DUF5517
962,PF11929,DUF3447
963,PF12458,DUF3686
964,PF12182,DUF3642
965,PF12545,DUF3739
966,PF12531,DUF3731
967,PF12536,DUF3734
968,PF09900,DUF2127
969,PF05128,DUF697
970,PF10816,DUF2760
971,PF10821,DUF2567
972,PF10823,DUF2568
973,PF10825,DUF2752
974,PF10846,DUF2722
975,PF10861,DUF2784
976,PF10865,DUF2703
977,PF10887,DUF2686
978,PF10896,DUF2714
979,PF10901,DUF2690
980,PF10926,DUF2800
981,PF10928,DUF2810
982,PF10929,DUF2811
983,PF10931,DUF2735
984,PF10932,DUF2783
985,PF10933,DUF2827
986,PF10935,DUF2637
987,PF10941,DUF2620
988,PF10946,DUF2625
989,PF10951,DUF2776
990,PF10973,DUF2799
991,PF10974,DUF2804
992,PF10975,DUF2802
993,PF10976,DUF2790
994,PF10977,DUF2797
995,PF10978,DUF2785
996,PF10980,DUF2787
997,PF10981,DUF2788
998,PF10982,DUF2789
999,PF10983,DUF2793
1000,PF10984,DUF2794
1001,PF10987,DUF2806
1002,PF10989,DUF2808
1003,PF10990,DUF2809
1004,PF10994,DUF2817
1005,PF10999,DUF2839
1006,PF11000,DUF2840
1007,PF11003,DUF2842
1008,PF11005,DUF2844
1009,PF11006,DUF2845
1010,PF11010,DUF2848
1011,PF11011,DUF2849
1012,PF11012,DUF2850
1013,PF11013,DUF2851
1014,PF11014,DUF2852
1015,PF11015,DUF2853
1016,PF11016,DUF2854
1017,PF11017,DUF2855
1018,PF11020,DUF2610
1019,PF11026,DUF2721
1020,PF11042,DUF2750
1021,PF11060,DUF2861
1022,PF11062,DUF2863
1023,PF11064,DUF2865
1024,PF11065,DUF2866
1025,PF11066,DUF2867
1026,PF11067,DUF2868
1027,PF11070,DUF2871
1028,PF11074,DUF2779
1029,PF11075,DUF2780
1030,PF11082,DUF2880
1031,PF11086,DUF2878
1032,PF11101,DUF2884
1033,PF11136,DUF2889
1034,PF11137,DUF2909
1035,PF11138,DUF2911
1036,PF11140,DUF2913
1037,PF11142,DUF2917
1038,PF11143,DUF2919
1039,PF11146,DUF2905
1040,PF11148,DUF2922
1041,PF11149,DUF2924
1042,PF11150,DUF2927
1043,PF11151,DUF2929
1044,PF11153,DUF2931
1045,PF11154,DUF2934
1046,PF11158,DUF2938
1047,PF11159,DUF2939
1048,PF11161,DUF2944
1049,PF11162,DUF2946
1050,PF11163,DUF2947
1051,PF11164,DUF2948
1052,PF11165,DUF2949
1053,PF11166,DUF2951
1054,PF11167,DUF2953
1055,PF11169,DUF2956
1056,PF11170,DUF2957
1057,PF11171,DUF2958
1058,PF11172,DUF2959
1059,PF11173,DUF2960
1060,PF11174,DUF2970
1061,PF11177,DUF2964
1062,PF11178,DUF2963
1063,PF11179,DUF2967
1064,PF11180,DUF2968
1065,PF11184,DUF2969
1066,PF11185,DUF2971
1067,PF11186,DUF2972
1068,PF11188,DUF2975
1069,PF11191,DUF2782
1070,PF11192,DUF2977
1071,PF11193,DUF2812
1072,PF11196,DUF2834
1073,PF11197,DUF2835
1074,PF11198,DUF2857
1075,PF11199,DUF2891
1076,PF11200,DUF2981
1077,PF11201,DUF2982
1078,PF11204,DUF2985
1079,PF11205,DUF2987
1080,PF11207,DUF2989
1081,PF11209,DUF2993
1082,PF11210,DUF2996
1083,PF11211,DUF2997
1084,PF11212,DUF2999
1085,PF11213,DUF3006
1086,PF11215,DUF3010
